Risk ID,Control ID,Primary Evidence,Evidence Status,Evidence Sufficiency,Assessment Method,Control Owner,Finding Status,Closure Evidence Required,Retest Method
R-001,AC.L2-3.1.5,E-005 privileged-role assignments; prior access-review records,Partial,Insufficient to prove complete quarterly recertification,Examine/Interview/Test,IAM Lead,NOT MET,Completed privileged-access review; approver record; exceptions; removal tickets,Reconcile all privileged roles to completed review and sample removals
R-002,AC.L2-3.1.12,E-008 VPN configuration; E-009 VPN session/authentication logs,Partial,Configuration exists but recurring monitoring evidence is incomplete,Examine/Interview/Test,Network Security,NOT MET,Centralized VPN telemetry; documented review records; escalation sample,Verify session logs reach Sentinel and inspect completed review sample
R-003,AU.L2-3.3.3,E-010 connector inventory; E-011 review records,Partial,Log sources exist but review cadence is inconsistently evidenced,Examine/Interview,SOC Lead,NOT MET,Approved review cadence; analyst review records; exception tickets,Sample required periods and trace review to disposition
R-004,CM.L2-3.4.1,E-012 endpoint baseline; E-013 server baselines,Partial,Two server classes lack approved baseline evidence,Examine/Test,Infrastructure Lead,NOT MET,Approved baselines; configuration reports; drift validation,Compare representative systems to approved baseline
R-005,CM.L2-3.4.8,E-015 application-control policy/deployment report,Partial,Control is not deployed to all in-scope engineering endpoints,Examine/Test,Endpoint Security,NOT MET,Deployment coverage report; exception register; representative execution tests,Test blocked unauthorized application on sampled endpoints
R-006,IA.L2-3.5.6,E-007 joiner-mover-leaver procedure; E-032 termination samples,Partial,Technical disablement occurs but identifier handling/reuse procedure is incomplete,Examine/Interview,IAM Lead,NOT MET,Approved identifier standard; termination ticket sample; identifier audit,Sample terminated accounts and validate identifier disposition
R-007,IR.L2-3.6.3,E-018 incident-response plan; E-019 tabletop report,Missing,Plan exists but no current-cycle test evidence,Examine/Interview/Test,Security Manager,NOT MET,Exercise plan; attendance; after-action report; corrective-action tracker,Review exercise package and trace lessons learned to assigned actions
R-008,MP.L2-3.8.5,E-020 removable-media inventory and checkout log,Partial,Media accountability records are incomplete,Examine/Interview,IT Operations,NOT MET,Reconciled inventory; checkout/return records; quarterly sign-off,Sample media assets from inventory to custody records
R-009,PE.L2-3.10.4,E-022 badge and visitor logs,Partial,Access logs exist but retention is inconsistent across controlled areas,Examine,Facilities Security,NOT MET,Standardized retention procedure; retained logs; review record,Inspect representative logs from each controlled area against retention standard
R-010,RA.L2-3.11.2,E-003 asset inventory; E-024 authenticated scan results,Partial,Scan population does not reconcile to all in-scope engineering laptops,Examine/Test,Vulnerability Management,NOT MET,100% asset-to-scan reconciliation; authenticated results; exception tickets,Reconcile authoritative inventory to completed scan population
R-011,CA.L2-3.12.1,E-026 annual security-control assessment; E-027 continuous-monitoring plan,Missing,Monitoring exists but formal current-cycle control assessment is absent,Examine/Interview,GRC Lead,NOT MET,Final assessment report; management approval; assigned corrective actions,Verify approved report exists and findings are linked to tracking system
R-012,SC.L2-3.13.7,E-008 VPN configuration and access-control rules,Partial,Standard profile disables split tunneling but equivalent enforcement is not demonstrated for all profiles,Examine/Test,Network Security,NOT MET,Configuration exports; representative test results; change record,Test multiple approved remote-access profiles for simultaneous network paths
R-013,SI.L2-3.14.3,E-030 alert/advisory intake and disposition records,Partial,Triage occurs but disposition records are inconsistent,Examine/Interview,SOC Lead,NOT MET,Ticketed intake; applicability decisions; owners; closure evidence,Sample advisories from intake through documented disposition
R-014,SI.L2-3.14.6,E-002 network diagram; E-010 Sentinel connector inventory,Partial,One manufacturing-support segment lacks equivalent monitoring telemetry,Examine/Test,SOC Lead,NOT MET,Telemetry configuration; connector evidence; controlled alert test; analyst investigation record,Generate representative test event and verify detection/investigation workflow
