Risk ID,Related Control,Risk Statement,Likelihood,Impact,Inherent Score,Rating,Treatment,Owner,Planned Remediation,Target Date,Status
R-001,AC.L2-3.1.5,Incomplete privileged-access reviews may allow excessive or stale administrative access to CUI systems.,4,5,20,Critical,Mitigate,IAM Lead,Implement quarterly privileged-access certification with documented owner approvals and exception tracking.,2026-10-15,Open
R-002,AC.L2-3.1.12,Incomplete monitoring of remote-access sessions may reduce the ability to detect unauthorized or anomalous access to the CUI enclave.,3,4,12,High,Mitigate,Network Security,Centralize VPN session logs in Sentinel and implement monthly documented review.,2026-10-31,Open
R-003,AU.L2-3.3.3,Inconsistent event-review evidence may allow security-relevant activity to go unreviewed or make monitoring effectiveness difficult to demonstrate.,3,4,12,High,Mitigate,SOC Lead,Define review cadence by log source; retain analyst review records and exception tickets.,2026-10-15,Open
R-004,CM.L2-3.4.1,Incomplete approved server baselines may result in configuration drift and inconsistent security settings within the enclave.,3,4,12,High,Mitigate,Infrastructure Lead,Approve hardened baselines for remaining server classes and validate through configuration reporting.,2026-10-31,Open
R-005,CM.L2-3.4.8,Lack of complete application allowlisting may permit unauthorized software execution on engineering endpoints.,4,4,16,High,Mitigate,Endpoint Security,Deploy and test application-control policy to all enclave engineering endpoints with controlled exception process.,2026-11-15,Open
R-006,IA.L2-3.5.6,Inconsistent identifier-handling procedures after separation may create account-governance ambiguity and increase risk of inappropriate identifier reuse.,2,3,6,Moderate,Mitigate,IAM Lead,Formalize disablement/reuse standard and retain termination-ticket evidence.,2026-10-15,Open
R-007,IR.L2-3.6.3,Without current incident-response testing response roles and escalation paths may fail during a real CUI security incident.,3,5,15,High,Mitigate,Security Manager,Conduct ransomware/CUI-exfiltration tabletop; record participants decisions gaps and corrective actions.,2026-10-31,Open
R-008,MP.L2-3.8.5,Incomplete removable-media accountability records may reduce traceability of encrypted media containing or capable of containing CUI.,2,4,8,Moderate,Mitigate,IT Operations,Reconcile media inventory; require checkout/return logging and quarterly inventory review.,2026-10-31,Open
R-009,PE.L2-3.10.4,Inconsistent physical-access log retention may impair investigation and evidence of access to controlled areas.,2,3,6,Moderate,Mitigate,Facilities Security,Standardize retention and review process across both controlled areas.,2026-11-15,Open
R-010,RA.L2-3.11.2,Engineering laptops that miss authenticated vulnerability scans may retain unknown exploitable vulnerabilities.,4,5,20,Critical,Mitigate,Vulnerability Management,Use agent-based scanning or enforced check-in workflow for intermittently connected systems.,2026-10-15,Open
R-011,CA.L2-3.12.1,Absence of a completed annual control assessment may allow control degradation and unresolved deficiencies to persist without formal governance review.,3,4,12,High,Mitigate,GRC Lead,Complete annual control assessment; issue report; assign corrective actions and executive approval.,2026-10-31,Open
R-012,SC.L2-3.13.7,Inconsistent split-tunneling prevention may enable simultaneous untrusted network paths during remote CUI access.,3,5,15,High,Mitigate,Network Security,Enforce no-split-tunnel configuration for all CUI remote-access profiles and test enforcement.,2026-10-15,Open
R-013,SI.L2-3.14.3,Undocumented advisory triage may cause relevant vulnerability or threat notifications to be missed or inconsistently acted upon.,3,3,9,Moderate,Mitigate,SOC Lead,Implement ticketed threat/advisory intake with applicability review disposition owner and closure evidence.,2026-11-15,Open
R-014,SI.L2-3.14.6,Monitoring visibility gap on a manufacturing-support segment may delay detection of malicious traffic crossing the enclave boundary.,4,5,20,Critical,Mitigate,SOC Lead,Extend network telemetry to the segment and validate alerts in Sentinel with test traffic.,2026-10-31,Open
