Control ID,Family,Requirement,Assessment Status,Risk ID,Control Owner,Assessment Note
AC.L2-3.1.1,Access Control,Authorized Access Control [CUI Data],MET,,IAM / Security Engineering,Synthetic evidence package supports all applicable assessment objectives for this portfolio scenario.
AC.L2-3.1.2,Access Control,Transaction & Function Control,MET,,IAM / Security Engineering,Synthetic evidence package supports all applicable assessment objectives for this portfolio scenario.
AC.L2-3.1.3,Access Control,Control CUI Flow,MET,,IAM / Security Engineering,Synthetic evidence package supports all applicable assessment objectives for this portfolio scenario.
AC.L2-3.1.4,Access Control,Separation of Duties,MET,,IAM / Security Engineering,Synthetic evidence package supports all applicable assessment objectives for this portfolio scenario.
AC.L2-3.1.5,Access Control,Least Privilege,NOT MET,R-001,IAM Lead,Quarterly privileged-access review is not consistently completed for all enclave admin roles.
AC.L2-3.1.6,Access Control,Non-Privileged Account Use,MET,,IAM / Security Engineering,Synthetic evidence package supports all applicable assessment objectives for this portfolio scenario.
AC.L2-3.1.7,Access Control,Privileged Functions,MET,,IAM / Security Engineering,Synthetic evidence package supports all applicable assessment objectives for this portfolio scenario.
AC.L2-3.1.8,Access Control,Unsuccessful Logon Attempts,MET,,IAM / Security Engineering,Synthetic evidence package supports all applicable assessment objectives for this portfolio scenario.
AC.L2-3.1.9,Access Control,Privacy & Security Notices,MET,,IAM / Security Engineering,Synthetic evidence package supports all applicable assessment objectives for this portfolio scenario.
AC.L2-3.1.10,Access Control,Session Lock,MET,,IAM / Security Engineering,Synthetic evidence package supports all applicable assessment objectives for this portfolio scenario.
AC.L2-3.1.11,Access Control,Session Termination,MET,,IAM / Security Engineering,Synthetic evidence package supports all applicable assessment objectives for this portfolio scenario.
AC.L2-3.1.12,Access Control,Control Remote Access,NOT MET,R-002,Network Security,Remote-access session monitoring and periodic review evidence is incomplete.
AC.L2-3.1.13,Access Control,Remote Access Confidentiality,MET,,IAM / Security Engineering,Synthetic evidence package supports all applicable assessment objectives for this portfolio scenario.
AC.L2-3.1.14,Access Control,Remote Access Routing,MET,,IAM / Security Engineering,Synthetic evidence package supports all applicable assessment objectives for this portfolio scenario.
AC.L2-3.1.15,Access Control,Privileged Remote Access,MET,,IAM / Security Engineering,Synthetic evidence package supports all applicable assessment objectives for this portfolio scenario.
AC.L2-3.1.16,Access Control,Wireless Access Authorization,MET,,IAM / Security Engineering,Synthetic evidence package supports all applicable assessment objectives for this portfolio scenario.
AC.L2-3.1.17,Access Control,Wireless Access Protection,MET,,IAM / Security Engineering,Synthetic evidence package supports all applicable assessment objectives for this portfolio scenario.
