POAM ID,Risk ID,Control ID,Deficiency,Planned Action,Owner,Priority,Target Date,POA&M Eligibility,Closure Evidence,Status
P-001,R-001,AC.L2-3.1.5,Quarterly privileged-access review evidence incomplete,Implement quarterly privileged-access certification with owner approval exception tracking and access-removal evidence.,IAM Lead,Critical,2026-10-15,NOT DETERMINED - validate against current 32 CFR 170.21,Completed review export; approvals; exception log; removal tickets,Open
P-002,R-002,AC.L2-3.1.12,Remote-access session monitoring evidence incomplete,Centralize VPN logs in Sentinel and document recurring review with escalation criteria.,Network Security,High,2026-10-31,NOT DETERMINED - validate against current 32 CFR 170.21,Sentinel connector evidence; review records; alert/ticket sample,Open
P-003,R-003,AU.L2-3.3.3,Security-event review cadence inconsistently evidenced,Define log-source review frequency and retain analyst review / exception records.,SOC Lead,High,2026-10-15,NOT DETERMINED - validate against current 32 CFR 170.21,Approved procedure; completed review records; exception tickets,Open
P-004,R-004,CM.L2-3.4.1,Approved server baselines incomplete,Create approve and deploy hardened baselines for remaining enclave server classes.,Infrastructure Lead,High,2026-10-31,NOT DETERMINED - validate against current 32 CFR 170.21,Approved baseline documents; configuration reports; validation test,Open
P-005,R-005,CM.L2-3.4.8,Application allowlisting incomplete on engineering endpoints,Deploy application-control policy across all engineering endpoints and establish exception workflow.,Endpoint Security,High,2026-11-15,NOT DETERMINED - validate against current 32 CFR 170.21,Deployment report; test results; exception procedure,Open
P-006,R-006,IA.L2-3.5.6,Identifier handling after separation inconsistently documented,Formalize identifier disablement and reuse requirements and retain termination evidence.,IAM Lead,Moderate,2026-10-15,NOT DETERMINED - validate against current 32 CFR 170.21,Approved procedure; termination ticket sample; identifier audit,Open
P-007,R-007,IR.L2-3.6.3,No completed current-cycle incident-response test,Run ransomware/CUI-exfiltration tabletop and track corrective actions to closure.,Security Manager,High,2026-10-31,NOT DETERMINED - validate against current 32 CFR 170.21,Exercise plan; attendance; after-action report; corrective-action tracker,Open
P-008,R-008,MP.L2-3.8.5,Removable-media accountability records incomplete,Reconcile media inventory and enforce checkout/return logging plus quarterly inventory review.,IT Operations,Moderate,2026-10-31,NOT DETERMINED - validate against current 32 CFR 170.21,Reconciled inventory; checkout log; quarterly review sign-off,Open
P-009,R-009,PE.L2-3.10.4,Physical-access log retention inconsistent,Standardize access-log retention and review requirements across controlled areas.,Facilities Security,Moderate,2026-11-15,NOT DETERMINED - validate against current 32 CFR 170.21,Updated procedure; retained logs; review record,Open
P-010,R-010,RA.L2-3.11.2,Intermittently connected engineering laptops miss authenticated scans,Implement agent-based or enforced check-in scanning and reconcile every scan cycle to asset inventory.,Vulnerability Management,Critical,2026-10-15,NOT DETERMINED - validate against current 32 CFR 170.21,100% asset reconciliation; authenticated scan output; exception tickets,Open
P-011,R-011,CA.L2-3.12.1,Annual security-control assessment incomplete,Complete current-cycle security-control assessment and obtain formal approval / corrective-action assignment.,GRC Lead,High,2026-10-31,NOT DETERMINED - validate against current 32 CFR 170.21,Final assessment report; approval record; corrective-action assignments,Open
P-012,R-012,SC.L2-3.13.7,Split-tunneling prevention not demonstrated for every remote profile,Standardize VPN profiles and test that split tunneling is disabled for all CUI remote-access paths.,Network Security,High,2026-10-15,NOT DETERMINED - validate against current 32 CFR 170.21,Configuration export; representative tests; change record,Open
P-013,R-013,SI.L2-3.14.3,Threat/advisory disposition workflow inconsistently documented,Implement ticketed advisory intake with applicability decision owner due date and closure evidence.,SOC Lead,Moderate,2026-11-15,NOT DETERMINED - validate against current 32 CFR 170.21,Procedure; sample advisory tickets; closure evidence,Open
P-014,R-014,SI.L2-3.14.6,Network-monitoring visibility gap on manufacturing-support segment,Extend network telemetry to Sentinel and validate detection through controlled testing.,SOC Lead,Critical,2026-10-31,NOT DETERMINED - validate against current 32 CFR 170.21,Connector/configuration evidence; alert test; analyst investigation record,Open
